# time, phase, observation, A, B, F
1.511250000000000093e-01 4.201880174176366722e+00 -9.248692450333420023e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.511875000000000024e-01 4.260785036431158801e+00 -8.862833826994516162e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.512499999999999956e-01 4.319689898685950880e+00 -8.446231986207439757e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.513125000000000164e-01 4.378594760940799802e+00 -8.000332027951126967e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.513750000000000095e-01 4.437499623195591880e+00 -7.526680680918904631e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.514375000000000027e-01 4.496404485450383959e+00 -7.026920937254935717e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.514999999999999958e-01 4.555309347705204459e+00 -6.502786353377958406e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.515625000000000167e-01 4.614214209960024959e+00 -5.956095036656438024e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.516250000000000098e-01 4.673119072214817038e+00 -5.388743338794305116e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.516875000000000029e-01 4.732023934469637538e+00 -4.802699277803925137e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.517499999999999960e-01 4.790928796724429617e+00 -4.199995711387243258e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.518125000000000169e-01 4.849833658979250117e+00 -3.582723285398133894e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.518750000000000100e-01 4.908738521234070618e+00 -2.953023181854668167e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.519375000000000031e-01 4.967643383488862696e+00 -2.313079691649695402e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.519999999999999962e-01 5.026548245743654775e+00 -1.665112637726452460e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.520624999999999893e-01 5.085453107998475275e+00 -1.011369675002549151e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.521250000000000102e-01 5.144357970253295775e+00 -3.541184937510211128e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.521875000000000033e-01 5.203262832508087854e+00 3.043610465181212366e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.522499999999999964e-01 5.262167694762908354e+00 9.617848253890792787e-02 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.523124999999999896e-01 5.321072557017700433e+00 1.615872384648422422e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.523750000000000104e-01 5.379977419272520933e+00 2.264354838694614958e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.524375000000000036e-01 5.438882281527341434e+00 2.904982744799962102e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.524999999999999967e-01 5.497787143782133512e+00 3.535533905932688459e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.525624999999999898e-01 5.556692006036925591e+00 4.153821079069339728e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.526250000000000107e-01 5.615596868291774513e+00 4.757699562258472237e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.526875000000000038e-01 5.674501730546566591e+00 5.345074634117100709e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.527499999999999969e-01 5.733406592801358670e+00 5.913908819961045671e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.528124999999999900e-01 5.792311455056179170e+00 6.462228959353543134e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.528750000000000109e-01 5.851216317310999671e+00 6.988133050563757331e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.529375000000000040e-01 5.910121179565791749e+00 7.489796848192231682e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.529999999999999971e-01 5.969026041820612249e+00 7.965480191076839134e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.530624999999999902e-01 6.027930904075404328e+00 8.413533038526723740e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.531250000000000111e-01 6.086835766330224828e+00 8.832401193951666674e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.531875000000000042e-01 6.145740628585045329e+00 9.220631696026009294e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.532499999999999973e-01 6.204645490839837407e+00 9.576877858692030010e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.533124999999999905e-01 6.263550353094629486e+00 9.899903942517399580e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.533750000000000113e-01 3.926990816989217592e-02 1.018858944120266230e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.534375000000000044e-01 9.817477042468425452e-02 1.044193296836978480e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.534999999999999976e-01 1.570796326794763331e-01 1.065905573115248695e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.535624999999999907e-01 2.159844949342968334e-01 1.083920457853397412e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.536250000000000115e-01 2.748893571891173337e-01 1.098175461386186713e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.536875000000000047e-01 3.337942194439094123e-01 1.108621136247723848e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.537499999999999978e-01 3.926990816987299127e-01 1.115221248693831990e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.538124999999999909e-01 4.516039439535219913e-01 1.117952904388892277e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.538750000000000118e-01 5.105088062083424916e-01 1.116806627821274489e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.539375000000000049e-01 5.694136684631629919e-01 1.111786395171785014e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.539999999999999980e-01 6.283185307179550705e-01 1.102909620521184575e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.540624999999999911e-01 6.872233929727471491e-01 1.090207095444564622e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.541250000000000120e-01 7.461282552275960711e-01 1.073722882202150064e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.541875000000000051e-01 8.050331174823881497e-01 1.053514160897093932e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.542499999999999982e-01 8.639379797371802283e-01 1.029651031130204730e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.543124999999999913e-01 9.228428419920007286e-01 1.002216268839925650e+00 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.543750000000000122e-01 9.817477042468212289e-01 9.713050391708688558e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.544375000000000053e-01 1.040652566501613308e+00 9.370245663668840264e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.544999999999999984e-01 1.099557428756433808e+00 8.994937618337266461e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
1.545624999999999916e-01 1.158462291011225886e+00 8.588428116617163877e-01 1.500000000000000000e+02 1.000000000000000000e+00 5.000000000000000000e-01
