# time, phase, observation, F, A1, A2, A3, A4, A5, A6, B1, B2, B3, B4, B5, B6
3.337500000000000189e-02 3.926990816987441235e-02 1.049631669637387077e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.343750000000000194e-02 9.817477042468070181e-02 1.533784708934340379e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.350000000000000200e-02 1.570796326794905440e-01 2.001297479603865614e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.356250000000000205e-02 2.159844949343003861e-01 2.387007244014777818e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.362500000000000211e-02 2.748893571891066756e-01 2.633814364926418072e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.368750000000000216e-02 3.337942194439165178e-01 2.699966814597470677e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.375000000000000222e-02 3.926990816987263599e-01 2.564579195830181568e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.381250000000000228e-02 4.516039439535326494e-01 2.230706522724316798e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.387500000000000233e-02 5.105088062083424916e-01 1.725580909936737184e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
3.393750000000000239e-02 5.694136684631523337e-01 1.097955138275991782e+00 1.500000000000000000e+02 1.000000000000000000e+00 2.500000000000000000e-01 0.000000000000000000e+00 6.999999999999999556e-01 -4.000000000000000222e-01 -8.000000000000000444e-01 5.000000000000000000e-01 0.000000000000000000e+00 -2.000000000000000111e-01 -8.000000000000000444e-01 9.000000000000000222e-01 1.000000000000000000e+00
